kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,November,stunting,537,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,November,stunting,1296,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,November,stunting,3532,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,November,stunting,1090,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,November,stunting,905,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,November,stunting,4220,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,November,stunting,1609,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,November,stunting,1708,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,November,stunting,1028,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,November,stunting,1081,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,November,stunting,1089,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,November,stunting,1026,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,November,stunting,333,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,November,stunting,604,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,November,stunting,986,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,November,stunting,1475,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,November,stunting,1630,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,November,stunting,780,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,November,stunting,811,jiwa
11,Aceh,11.72,Kota Sabang,2022,November,stunting,411,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,November,stunting,886,jiwa
11,Aceh,11.74,Kota Langsa,2022,November,stunting,132,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,November,stunting,1137,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,Desember,stunting,1072,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,Desember,stunting,1222,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,Desember,stunting,3155,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,Desember,stunting,1327,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,Desember,stunting,800,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,Desember,stunting,4991,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,Desember,stunting,1607,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,Desember,stunting,2457,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,Desember,stunting,883,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,Desember,stunting,1124,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,Desember,stunting,1011,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,Desember,stunting,1003,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,Desember,stunting,329,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,Desember,stunting,577,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,Desember,stunting,998,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,Desember,stunting,1442,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,Desember,stunting,1484,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,Desember,stunting,1037,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,Desember,stunting,841,jiwa
11,Aceh,11.72,Kota Sabang,2022,Desember,stunting,386,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,Desember,stunting,941,jiwa
11,Aceh,11.74,Kota Langsa,2022,Desember,stunting,133,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,Desember,stunting,882,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Januari,stunting,897,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Januari,stunting,1121,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Januari,stunting,3340,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Januari,stunting,1237,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Januari,stunting,608,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Januari,stunting,4932,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Januari,stunting,1972,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Januari,stunting,2220,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Januari,stunting,934,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Januari,stunting,1304,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Januari,stunting,1080,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Januari,stunting,1019,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Januari,stunting,306,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Januari,stunting,581,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Januari,stunting,901,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Januari,stunting,1189,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Januari,stunting,1461,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Januari,stunting,1285,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Januari,stunting,756,jiwa
11,Aceh,11.72,Kota Sabang,2023,Januari,stunting,390,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Januari,stunting,807,jiwa
11,Aceh,11.74,Kota Langsa,2023,Januari,stunting,132,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Januari,stunting,857,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Februari,stunting,976,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Februari,stunting,1161,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Februari,stunting,3734,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Februari,stunting,1313,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Februari,stunting,505,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Februari,stunting,5293,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Februari,stunting,1926,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Februari,stunting,2378,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Februari,stunting,886,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Februari,stunting,1500,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Februari,stunting,961,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Februari,stunting,1050,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Februari,stunting,284,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Februari,stunting,675,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Februari,stunting,999,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Februari,stunting,1098,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Februari,stunting,1626,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Februari,stunting,1152,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Februari,stunting,957,jiwa
11,Aceh,11.72,Kota Sabang,2023,Februari,stunting,385,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Februari,stunting,872,jiwa
11,Aceh,11.74,Kota Langsa,2023,Februari,stunting,129,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Februari,stunting,909,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Maret,stunting,514,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Maret,stunting,1113,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Maret,stunting,2653,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Maret,stunting,1009,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Maret,stunting,214,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Maret,stunting,3779,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Maret,stunting,1857,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Maret,stunting,1667,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Maret,stunting,853,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Maret,stunting,1354,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Maret,stunting,948,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Maret,stunting,830,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2023,Maret,stunting,273,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2023,Maret,stunting,681,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2023,Maret,stunting,877,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2023,Maret,stunting,1153,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2023,Maret,stunting,1693,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2023,Maret,stunting,768,jiwa
11,Aceh,11.71,Kota Banda Aceh,2023,Maret,stunting,1205,jiwa
11,Aceh,11.72,Kota Sabang,2023,Maret,stunting,357,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2023,Maret,stunting,856,jiwa
11,Aceh,11.74,Kota Langsa,2023,Maret,stunting,132,jiwa
11,Aceh,11.75,Kota Subulussalam,2023,Maret,stunting,669,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,November,wasting,280,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,November,wasting,468,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,November,wasting,2056,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,November,wasting,290,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,November,wasting,653,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,November,wasting,2399,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,November,wasting,1676,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,November,wasting,1194,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,November,wasting,562,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,November,wasting,422,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,November,wasting,855,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,November,wasting,483,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,November,wasting,254,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,November,wasting,332,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,November,wasting,535,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,November,wasting,928,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,November,wasting,389,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,November,wasting,520,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,November,wasting,443,jiwa
11,Aceh,11.72,Kota Sabang,2022,November,wasting,224,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,November,wasting,425,jiwa
11,Aceh,11.74,Kota Langsa,2022,November,wasting,72,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,November,wasting,487,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,Desember,wasting,393,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,Desember,wasting,424,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,Desember,wasting,1496,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,Desember,wasting,331,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,Desember,wasting,687,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,Desember,wasting,2623,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,Desember,wasting,1519,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,Desember,wasting,1718,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,Desember,wasting,448,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,Desember,wasting,382,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,Desember,wasting,765,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,Desember,wasting,522,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,Desember,wasting,270,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,Desember,wasting,326,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,Desember,wasting,470,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,Desember,wasting,848,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,Desember,wasting,379,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,Desember,wasting,570,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,Desember,wasting,553,jiwa
11,Aceh,11.72,Kota Sabang,2022,Desember,wasting,219,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,Desember,wasting,463,jiwa
11,Aceh,11.74,Kota Langsa,2022,Desember,wasting,68,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,Desember,wasting,403,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2023,Januari,wasting,386,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2023,Januari,wasting,435,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2023,Januari,wasting,1553,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2023,Januari,wasting,327,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2023,Januari,wasting,521,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2023,Januari,wasting,2448,jiwa
11,Aceh,11.07,Kabupaten Pidie,2023,Januari,wasting,1719,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2023,Januari,wasting,1728,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2023,Januari,wasting,517,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2023,Januari,wasting,415,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2023,Januari,wasting,861,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2023,Januari,wasting,500,jiwa
